medal_type,medal_code,name,country,country_code,nationality,discipline,event,birth_date,code
Bronze Medal,3,WILLIAMS Kerri,New Zealand,NZL,New Zealand,Rowing,Women's Four,1993-12-18,1926999
Gold Medal,1,PALLISTER Lani,Australia,AUS,Australia,Swimming,Women's 4 x 200m Freestyle Relay,2002-06-06,1946201
Gold Medal,1,PERKINS Jamie,Australia,AUS,Australia,Swimming,Women's 4 x 200m Freestyle Relay,2005-01-19,1946188
Gold Medal,1,THROSSELL Brianna,Australia,AUS,Australia,Swimming,Women's 4 x 200m Freestyle Relay,1996-02-10,1946157
Gold Medal,1,JACK Shayna,Australia,AUS,Australia,Swimming,Women's 4 x 200m Freestyle Relay,1998-11-06,1946227
Gold Medal,1,O'CALLAGHAN Mollie,Australia,AUS,Australia,Swimming,Women's 4 x 200m Freestyle Relay,2004-04-02,1946218
Gold Medal,1,TITMUS Ariarne,Australia,AUS,Australia,Swimming,Women's 4 x 200m Freestyle Relay,2000-09-07,1946150
Silver Medal,2,PEPLOWSKI Anna,United States,USA,United States,Swimming,Women's 4 x 200m Freestyle Relay,2002-09-25,1935967
Silver Medal,2,GEMMELL Erin,United States,USA,United States,Swimming,Women's 4 x 200m Freestyle Relay,2004-12-02,1935907
Silver Medal,2,MANUEL Simone,United States,USA,United States,Swimming,Women's 4 x 200m Freestyle Relay,1996-08-02,1935945
Silver Medal,2,SHACKELL Alex,United States,USA,United States,Swimming,Women's 4 x 200m Freestyle Relay,2006-11-13,1935979
Silver Medal,2,LEDECKY Katie,United States,USA,United States,Swimming,Women's 4 x 200m Freestyle Relay,1997-03-17,1935938
Silver Medal,2,MADDEN Paige,United States,USA,United States,Swimming,Women's 4 x 200m Freestyle Relay,1998-10-22,1935943
Silver Medal,2,WEINSTEIN Claire,United States,USA,United States,Swimming,Women's 4 x 200m Freestyle Relay,2007-03-01,1936000
Bronze Medal,3,TANG Muhan,China,CHN,China,Swimming,Women's 4 x 200m Freestyle Relay,2003-09-04,1945224
Bronze Medal,3,KONG Yaqi,China,CHN,China,Swimming,Women's 4 x 200m Freestyle Relay,2008-01-24,1945222
Bronze Medal,3,GE Chutong,China,CHN,China,Swimming,Women's 4 x 200m Freestyle Relay,2003-09-23,1945171
Bronze Medal,3,LIU Yaxin,China,CHN,China,Swimming,Women's 4 x 200m Freestyle Relay,1999-06-16,1945223
Bronze Medal,3,LI Bingjie,China,CHN,China,Swimming,Women's 4 x 200m Freestyle Relay,2002-03-03,1945169
Bronze Medal,3,YANG Junxuan,China,CHN,China,Swimming,Women's 4 x 200m Freestyle Relay,2002-01-26,1945159
Gold Medal,1,LIM Sihyeon,Korea,KOR,Korea,Archery,Mixed Team,2003-06-13,1902147
Gold Medal,1,KIM Woojin,Korea,KOR,Korea,Archery,Mixed Team,1992-06-20,1902135
Silver Medal,2,KROPPEN Michelle,Germany,GER,Germany,Archery,Mixed Team,1996-04-19,1553258
Silver Medal,2,UNRUH Florian,Germany,GER,Germany,Archery,Mixed Team,1993-06-07,1553249
Bronze Medal,3,KAUFHOLD Casey,United States,USA,United States,Archery,Mixed Team,2004-03-06,1955601
Bronze Medal,3,ELLISON Brady,United States,USA,United States,Archery,Mixed Team,1988-10-27,1955595
Gold Medal,1,ZHENG Si Wei,China,CHN,China,Badminton,Mixed Doubles,1997-02-26,1913418
Gold Medal,1,HUANG Ya Qiong,China,CHN,China,Badminton,Mixed Doubles,1994-02-28,1913432
Silver Medal,2,KIM Won Ho,Korea,KOR,Korea,Badminton,Mixed Doubles,1999-06-02,1891507
Silver Medal,2,JEONG Na Eun,Korea,KOR,Korea,Badminton,Mixed Doubles,2000-06-27,1891502
Bronze Medal,3,WATANABE Yuta,Japan,JPN,Japan,Badminton,Mixed Doubles,1997-06-13,1541614
Bronze Medal,3,HIGASHINO Arisa,Japan,JPN,Japan,Badminton,Mixed Doubles,1996-08-01,1541619
Gold Medal,1,LONG Daoyi,China,CHN,China,Diving,Men's Synchronised 3m Springboard,2003-03-06,1901551
Gold Medal,1,WANG Zongyuan,China,CHN,China,Diving,Men's Synchronised 3m Springboard,2001-10-24,1901549
Silver Medal,2,CELAYA HERNANDEZ Juan Manuel,Mexico,MEX,Mexico,Diving,Men's Synchronised 3m Springboard,1998-09-01,1536197
Silver Medal,2,OLVERA IBARRA Osmar,Mexico,MEX,Mexico,Diving,Men's Synchronised 3m Springboard,2004-06-05,1535349
Bronze Medal,3,HARDING Anthony,Great Britain,GBR,Great Britain,Diving,Men's Synchronised 3m Springboard,2000-06-30,1900840
Bronze Medal,3,LAUGHER Jack,Great Britain,GBR,Great Britain,Diving,Men's Synchronised 3m Springboard,1995-01-30,1900848
Gold Medal,1,BRASH Scott,Great Britain,GBR,Great Britain,Equestrian,Jumping Team,1985-11-23,1970891
Gold Medal,1,CHARLES Harry,Great Britain,GBR,Great Britain,Equestrian,Jumping Team,1999-07-15,1970896
Gold Medal,1,MAHER Ben,Great Britain,GBR,Great Britain,Equestrian,Jumping Team,1983-01-30,1979168
Gold Medal,1,STOCKDALE Joseph,Great Britain,GBR,Great Britain,Equestrian,Jumping Team,1999-10-18,1970925
Silver Medal,2,WARD McLain,United States,USA,United States,Equestrian,Jumping Team,1975-10-17,1951875
Silver Medal,2,FARRINGTON Kent,United States,USA,United States,Equestrian,Jumping Team,1980-12-28,1951819
Silver Medal,2,KRAUT Laura,United States,USA,United States,Equestrian,Jumping Team,1965-11-14,1951840
Silver Medal,2,COOK Karl,United States,USA,United States,Equestrian,Jumping Team,1990-12-25,1951802
Bronze Medal,3,,,,,Equestrian,Jumping Team,,1899865
Bronze Medal,3,DELESTRE Simon,France,FRA,France,Equestrian,Jumping Team,1981-06-21,1899843
Bronze Medal,3,EPAILLARD Julien,France,FRA,France,Equestrian,Jumping Team,1977-07-24,1899845
Bronze Medal,3,PERREAU Olivier,France,FRA,France,Equestrian,Jumping Team,1986-06-23,1899856
Gold Medal,1,SIKLOSI Gergely,Hungary,HUN,Hungary,Fencing,Men's Épée Team,1997-09-04,1946450
Gold Medal,1,KOCH Mate Tamas,Hungary,HUN,Hungary,Fencing,Men's Épée Team,1999-09-17,1946370
Gold Medal,1,ANDRASFI Tibor,Hungary,HUN,Hungary,Fencing,Men's Épée Team,1999-12-10,1946278
Gold Medal,1,NAGY David,Hungary,HUN,Hungary,Fencing,Men's Épée Team,1999-07-14,1946379
Silver Medal,2,KANO Koki,Japan,JPN,Japan,Fencing,Men's Épée Team,1997-12-19,1896548
Silver Medal,2,MINOBE Kazuyasu,Japan,JPN,Japan,Fencing,Men's Épée Team,1987-07-15,1896554
Silver Medal,2,YAMADA Masaru,Japan,JPN,Japan,Fencing,Men's Épée Team,1994-06-14,1896549
Silver Medal,2,KOMATA Akira,Japan,JPN,Japan,Fencing,Men's Épée Team,1998-01-31,1896538
Bronze Medal,3,BERAN Jiri,Czechia,CZE,Czechia,Fencing,Men's Épée Team,1982-01-18,1914523
Bronze Medal,3,JURKA Jakub,Czechia,CZE,Czechia,Fencing,Men's Épée Team,1999-06-13,1914535
Bronze Medal,3,RUBES Martin,Czechia,CZE,Czechia,Fencing,Men's Épée Team,1996-09-16,1914540
Bronze Medal,3,CUPR Michal,Czechia,CZE,Czechia,Fencing,Men's Épée Team,1991-12-23,1914531
Gold Medal,1,Mc CARTHY Fintan,Ireland,IRL,Ireland,Rowing,Lightweight Men's Double Sculls,1996-11-23,1543322
Gold Medal,1,O DONOVAN Paul,Ireland,IRL,Ireland,Rowing,Lightweight Men's Double Sculls,1994-04-19,1572444
Silver Medal,2,OPPO Stefano,Italy,ITA,Italy,Rowing,Lightweight Men's Double Sculls,1994-09-12,1547870
Silver Medal,2,SOARES Gabriel,Italy,ITA,Italy,Rowing,Lightweight Men's Double Sculls,1997-01-22,1547873
Bronze Medal,3,PAPAKONSTANTINOU Antonios,Greece,GRE,Greece,Rowing,Lightweight Men's Double Sculls,1999-03-18,1977132
Bronze Medal,3,GKAIDATZIS Petros,Greece,GRE,Greece,Rowing,Lightweight Men's Double Sculls,2000-11-25,1977153
Gold Medal,1,CRAIG Emily,Great Britain,GBR,Great Britain,Rowing,Lightweight Women's Double Sculls,1992-11-30,1901048
Gold Medal,1,GRANT Imogen,Great Britain,GBR,Great Britain,Rowing,Lightweight Women's Double Sculls,1996-02-26,1901071
Silver Medal,2,van GRONINGEN Gianina Elena,Romania,ROU,Romania,Rowing,Lightweight Women's Double Sculls,1995-05-21,1550661
Silver Medal,2,COZMIUC Ionela Livia,Romania,ROU,Romania,Rowing,Lightweight Women's Double Sculls,1995-01-03,1550384
Bronze Medal,3,KONTOU Dimitra,Greece,GRE,Greece,Rowing,Lightweight Women's Double Sculls,2005-09-23,1977101
Bronze Medal,3,FITSIOU Zoi,Greece,GRE,Greece,Rowing,Lightweight Women's Double Sculls,1995-09-14,1977159
Gold Medal,1,SINKOVIC Martin,Croatia,CRO,Croatia,Rowing,Men's Pair,1989-11-10,1916685
Gold Medal,1,SINKOVIC Valent,Croatia,CRO,Croatia,Rowing,Men's Pair,1988-08-02,1921490
Silver Medal,2,WYNNE-GRIFFITH Oliver,Great Britain,GBR,Great Britain,Rowing,Men's Pair,1994-05-29,1901101
Silver Medal,2,GEORGE Tom,Great Britain,GBR,Great Britain,Rowing,Men's Pair,1994-09-22,1901066
Bronze Medal,3,ROEOESLI Roman,Switzerland,SUI,Switzerland,Rowing,Men's Pair,1993-09-22,1977804
Bronze Medal,3,GULICH Andrin,Switzerland,SUI,Switzerland,Rowing,Men's Pair,1999-03-09,1976556
Gold Medal,1,CLEVERING Ymkje,Netherlands,NED,Netherlands,Rowing,Women's Pair,1995-07-17,1965559
Gold Medal,1,MEESTER Veronique,Netherlands,NED,Netherlands,Rowing,Women's Pair,1995-04-07,1965556
Silver Medal,2,VRINCEANU Ioana,Romania,ROU,Romania,Rowing,Women's Pair,1994-03-07,1550789
Silver Medal,2,ANGHEL Roxana,Romania,ROU,Romania,Rowing,Women's Pair,1998-01-01,1550289
Bronze Medal,3,MORRISON Jess,Australia,AUS,Australia,Rowing,Women's Pair,1992-05-18,1945670
Bronze Medal,3,McINTYRE Annabelle,Australia,AUS,Australia,Rowing,Women's Pair,1996-09-12,1945644
Gold Medal,1,BOTIN le CHEVER Diego,Spain,ESP,Spain,Sailing,Men's Skiff,1993-12-25,1959270
Gold Medal,1,TRITTEL PAUL Florian,Spain,ESP,Spain,Sailing,Men's Skiff,1994-05-23,1959294
Silver Medal,2,McHARDIE Isaac,New Zealand,NZL,New Zealand,Sailing,Men's Skiff,1997-07-06,1918833
Silver Medal,2,McKENZIE William,New Zealand,NZL,New Zealand,Sailing,Men's Skiff,1997-02-19,1918834
Bronze Medal,3,BARROWS Ian,United States,USA,United States,Sailing,Men's Skiff,1995-01-14,1950366
Bronze Medal,3,HENKEN Hans,United States,USA,United States,Sailing,Men's Skiff,1992-06-04,1950381
Gold Medal,1,van AANHOLT Odile,Netherlands,NED,Netherlands,Sailing,Women's Skiff,1998-01-14,1970495
Gold Medal,1,DUETZ Annette,Netherlands,NED,Netherlands,Sailing,Women's Skiff,1993-06-29,1970514
Silver Medal,2,BOBECK Vilma,Sweden,SWE,Sweden,Sailing,Women's Skiff,1998-01-05,1564653
Silver Medal,2,NETZLER Rebecca,Sweden,SWE,Sweden,Sailing,Women's Skiff,1995-07-22,1564657
Bronze Medal,3,STEYAERT Sarah,France,FRA,France,Sailing,Women's Skiff,1986-11-27,1559558
Bronze Medal,3,PICON Charline,France,FRA,France,Sailing,Women's Skiff,1984-12-23,1559559
Gold Medal,1,SINIAKOVA Katerina,Czechia,CZE,Czechia,Tennis,Mixed Doubles,1996-05-10,1901342
Gold Medal,1,MACHAC Tomas,Czechia,CZE,Czechia,Tennis,Mixed Doubles,2000-10-13,1901333
Silver Medal,2,WANG Xinyu,China,CHN,China,Tennis,Mixed Doubles,2001-09-26,1927719
Silver Medal,2,ZHANG Zhizhen,China,CHN,China,Tennis,Mixed Doubles,1996-10-16,1927704
Bronze Medal,3,DABROWSKI Gabriela,Canada,CAN,Canada,Tennis,Mixed Doubles,1992-04-01,1972627
Bronze Medal,3,AUGER-ALIASSIME Felix,Canada,CAN,Canada,Tennis,Mixed Doubles,2000-08-08,1972646
Gold Medal,1,KLEIN IKKINK Isaya,Netherlands,NED,Netherlands,Athletics,4 x 400m Relay Mixed,2003-05-13,1972116
Gold Medal,1,OMALLA Eugene,Netherlands,NED,Netherlands,Athletics,4 x 400m Relay Mixed,2000-10-05,1972234
Gold Medal,1,BOL Femke,Netherlands,NED,Netherlands,Athletics,4 x 400m Relay Mixed,2000-02-23,1972078
Gold Medal,1,KLAVER Lieke,Netherlands,NED,Netherlands,Athletics,4 x 400m Relay Mixed,1998-08-20,1972115
Gold Medal,1,PEETERS Cathelijn,Netherlands,NED,Netherlands,Athletics,4 x 400m Relay Mixed,1996-11-06,1972240
Gold Medal,1,,,,,Athletics,4 x 400m Relay Mixed,,1972077
Silver Medal,2,DEADMON Bryce,United States,USA,United States,Athletics,4 x 400m Relay Mixed,1997-03-26,1960590
Silver Medal,2,NORWOOD Vernon,United States,USA,United States,Athletics,4 x 400m Relay Mixed,1992-04-10,1960111
Silver Medal,2,WILSON Quincy,United States,USA,United States,Athletics,4 x 400m Relay Mixed,2008-01-08,4979564
Silver Medal,2,BROWN Kaylyn,United States,USA,United States,Athletics,4 x 400m Relay Mixed,2004-12-31,1960650
Silver Medal,2,LITTLE Shamier,United States,USA,United States,Athletics,4 x 400m Relay Mixed,1995-03-20,1960179
Silver Medal,2,WHITTAKER Isabella,United States,USA,United States,Athletics,4 x 400m Relay Mixed,2002-02-15,4979557
Bronze Medal,3,DAVEY Lewis,Great Britain,GBR,Great Britain,Athletics,4 x 400m Relay Mixed,2000-10-24,1924406
Bronze Medal,3,HAYDOCK-WILSON Alex,Great Britain,GBR,Great Britain,Athletics,4 x 400m Relay Mixed,1999-07-28,1924426
Bronze Medal,3,JEFFERIES Ben,Great Britain,GBR,Great Britain,Athletics,4 x 400m Relay Mixed,1999-09-10,1956844
Bronze Medal,3,REARDON Samuel,Great Britain,GBR,Great Britain,Athletics,4 x 400m Relay Mixed,2003-10-30,1956853
Bronze Medal,3,ANNING Amber,Great Britain,GBR,Great Britain,Athletics,4 x 400m Relay Mixed,2000-11-18,1924383
Bronze Medal,3,KELLY Hannah,Great Britain,GBR,Great Britain,Athletics,4 x 400m Relay Mixed,2000-12-20,1956846
Bronze Medal,3,NIELSEN Laviai,Great Britain,GBR,Great Britain,Athletics,4 x 400m Relay Mixed,1996-03-13,1924464
Bronze Medal,3,WILLIAMS Jodie,Great Britain,GBR,Great Britain,Athletics,4 x 400m Relay Mixed,1993-09-28,1924506
Bronze Medal,3,YEARGIN Nicole,Great Britain,GBR,Great Britain,Athletics,4 x 400m Relay Mixed,1997-08-11,1924509
Gold Medal,1,CHEN Qing Chen,China,CHN,China,Badminton,Women's Doubles,1997-06-23,1913438
Gold Medal,1,JIA Yi Fan,China,CHN,China,Badminton,Women's Doubles,1997-06-29,1913439
Silver Medal,2,LIU Sheng Shu,China,CHN,China,Badminton,Women's Doubles,2004-04-08,1913441
Silver Medal,2,TAN Ning,China,CHN,China,Badminton,Women's Doubles,2003-04-03,1913442
Bronze Medal,3,MATSUYAMA Nami,Japan,JPN,Japan,Badminton,Women's Doubles,1998-06-28,1541630
Bronze Medal,3,SHIDA Chiharu,Japan,JPN,Japan,Badminton,Women's Doubles,1997-04-29,1541629
Gold Medal,1,von BREDOW-WERNDL Jessica,Germany,GER,Germany,Equestrian,Dressage Team,1986-02-16,1914905
Gold Medal,1,WANDRES Frederic,Germany,GER,Germany,Equestrian,Dressage Team,1987-03-25,1914936
Gold Medal,1,WERTH Isabell,Germany,GER,Germany,Equestrian,Dressage Team,1969-07-21,1914909
Gold Medal,1,ROTHENBERGER Soenke,Germany,GER,Germany,Equestrian,Dressage Team,1994-10-14,1914907
Silver Medal,2,BACHMANN ANDERSEN Daniel,Denmark,DEN,Denmark,Equestrian,Dressage Team,1990-06-01,1892359
Silver Medal,2,LAUDRUP-DUFOUR Cathrine,Denmark,DEN,Denmark,Equestrian,Dressage Team,1992-01-02,1892363
Silver Medal,2,SKODBORG MERRALD Nanna,Denmark,DEN,Denmark,Equestrian,Dressage Team,1993-10-08,1892358
Silver Medal,2,SLOTH Nadja Aaboe,Denmark,DEN,Denmark,Equestrian,Dressage Team,1992-10-23,1892364
Bronze Medal,3,FRY Charlotte,Great Britain,GBR,Great Britain,Equestrian,Dressage Team,1996-02-11,1970905
Bronze Medal,3,HESTER Carl,Great Britain,GBR,Great Britain,Equestrian,Dressage Team,1967-06-29,1970910
Bronze Medal,3,MOODY Becky,Great Britain,GBR,Great Britain,Equestrian,Dressage Team,1980-03-16,1970921
Bronze Medal,3,GOULD Andrew,Great Britain,GBR,Great Britain,Equestrian,Dressage Team,1980-05-21,1970907
Gold Medal,1,KHARLAN Olga,Ukraine,UKR,Ukraine,Fencing,Women's Sabre Team,1990-09-04,1897644
Gold Medal,1,KOMASHCHUK Alina,Ukraine,UKR,Ukraine,Fencing,Women's Sabre Team,1993-04-24,1897638
Gold Medal,1,KRAVATSKA Olena,Ukraine,UKR,Ukraine,Fencing,Women's Sabre Team,1992-06-22,1897637
Gold Medal,1,BAKASTOVA Yuliia,Ukraine,UKR,Ukraine,Fencing,Women's Sabre Team,1996-06-26,1897633
Silver Medal,2,YOON Jisu,Korea,KOR,Korea,Fencing,Women's Sabre Team,1993-01-24,1927158
Silver Medal,2,JEON Hayoung,Korea,KOR,Korea,Fencing,Women's Sabre Team,2001-08-18,1927123
Silver Medal,2,CHOI Sebin,Korea,KOR,Korea,Fencing,Women's Sabre Team,2000-08-11,1927113
Silver Medal,2,JEON Eunhye,Korea,KOR,Korea,Fencing,Women's Sabre Team,1997-08-01,1927122
Bronze Medal,3,EMURA Misaki,Japan,JPN,Japan,Fencing,Women's Sabre Team,1998-11-20,1896542
Bronze Medal,3,TAKASHIMA Risa,Japan,JPN,Japan,Fencing,Women's Sabre Team,1999-02-08,1896519
Bronze Medal,3,FUKUSHIMA Shihomi,Japan,JPN,Japan,Fencing,Women's Sabre Team,1995-06-19,1896541
Bronze Medal,3,OZAKI Seri,Japan,JPN,Japan,Fencing,Women's Sabre Team,2002-09-22,1896522
Gold Medal,1,BOUKLI Shirine,France,FRA,France,Judo,Mixed Team,1999-01-24,1891280
Gold Medal,1,BUCHARD Amandine,France,FRA,France,Judo,Mixed Team,1995-07-12,1891283
Gold Medal,1,CYSIQUE Sarah Leonie,France,FRA,France,Judo,Mixed Team,1998-07-06,1891286
Gold Medal,1,AGBEGNENOU Clarisse,France,FRA,France,Judo,Mixed Team,1992-10-25,1891289
Gold Medal,1,GAHIE Marie Eve,France,FRA,France,Judo,Mixed Team,1996-11-27,1891292
Gold Medal,1,DICKO Romane,France,FRA,France,Judo,Mixed Team,1999-09-30,1891300
Gold Medal,1,MALONGA Madeleine,France,FRA,France,Judo,Mixed Team,1993-12-25,1891297
Gold Medal,1,GABA Joan-Benjamin,France,FRA,France,Judo,Mixed Team,2001-01-07,1891311
Gold Medal,1,KHYAR Walide,France,FRA,France,Judo,Mixed Team,1995-06-09,1891307
Gold Medal,1,MKHEIDZE Luka,France,FRA,France,Judo,Mixed Team,1996-01-05,1891304
Gold Medal,1,DJALO Alpha Oumar,France,FRA,France,Judo,Mixed Team,1996-09-05,1891314
Gold Medal,1,NGAYAP HAMBOU Maxime-Gael,France,FRA,France,Judo,Mixed Team,2001-06-22,1891318
Gold Medal,1,DIESSE Aurelien,France,FRA,France,Judo,Mixed Team,1997-10-16,1891320
Gold Medal,1,RINER Teddy,France,FRA,France,Judo,Mixed Team,1989-04-07,1891323
Silver Medal,2,ABE Uta,Japan,JPN,Japan,Judo,Mixed Team,2000-07-14,1896760
Silver Medal,2,FUNAKUBO Haruka,Japan,JPN,Japan,Judo,Mixed Team,1998-10-10,1896733
Silver Medal,2,TSUNODA Natsumi,Japan,JPN,Japan,Judo,Mixed Team,1992-08-06,1896735
Silver Medal,2,NIIZOE Saki,Japan,JPN,Japan,Judo,Mixed Team,1996-07-04,1896744
Silver Medal,2,TAKAICHI Miku,Japan,JPN,Japan,Judo,Mixed Team,1994-04-07,1896767
Silver Medal,2,SONE Akira,Japan,JPN,Japan,Judo,Mixed Team,2000-07-09,1896762
Silver Medal,2,TAKAYAMA Rika,Japan,JPN,Japan,Judo,Mixed Team,1994-08-27,1896743
Silver Medal,2,ABE Hifumi,Japan,JPN,Japan,Judo,Mixed Team,1997-08-09,1896763
Silver Medal,2,HASHIMOTO Soichi,Japan,JPN,Japan,Judo,Mixed Team,1991-08-24,1896740
Silver Medal,2,NAGAYAMA Ryuju,Japan,JPN,Japan,Judo,Mixed Team,1996-04-15,1896752
Silver Medal,2,MURAO Sanshiro,Japan,JPN,Japan,Judo,Mixed Team,2000-08-28,1896750
Silver Medal,2,NAGASE Takanori,Japan,JPN,Japan,Judo,Mixed Team,1993-10-14,1896765
Silver Medal,2,SAITO Tatsuru,Japan,JPN,Japan,Judo,Mixed Team,2002-03-08,1896748
Silver Medal,2,WOLF Aaron,Japan,JPN,Japan,Judo,Mixed Team,1996-02-25,1896764
Bronze Medal,3,PIMENTA Larissa,Brazil,BRA,Brazil,Judo,Mixed Team,1999-03-01,1953817
Bronze Medal,3,SILVA Rafaela,Brazil,BRA,Brazil,Judo,Mixed Team,1992-04-24,1953835
Bronze Medal,3,QUADROS Ketleyn,Brazil,BRA,Brazil,Judo,Mixed Team,1987-10-01,1953812
Bronze Medal,3,SOUZA Beatriz,Brazil,BRA,Brazil,Judo,Mixed Team,1998-05-20,1953777
Bronze Medal,3,CARGNIN Daniel,Brazil,BRA,Brazil,Judo,Mixed Team,1997-12-20,1953781
Bronze Medal,3,LIMA Willian,Brazil,BRA,Brazil,Judo,Mixed Team,2000-01-31,1953840
Bronze Medal,3,MACEDO Rafael,Brazil,BRA,Brazil,Judo,Mixed Team,1994-08-15,1953832
Bronze Medal,3,SCHIMIDT Guilherme,Brazil,BRA,Brazil,Judo,Mixed Team,2000-11-06,1953799
Bronze Medal,3,GONCALVES Leonardo,Brazil,BRA,Brazil,Judo,Mixed Team,1996-03-01,1953816
Bronze Medal,3,SILVA Rafael,Brazil,BRA,Brazil,Judo,Mixed Team,1987-05-11,1953836
Bronze Medal,3,HUH Mimi,Korea,KOR,Korea,Judo,Mixed Team,2002-12-19,1928067
Bronze Medal,3,JUNG Yerin,Korea,KOR,Korea,Judo,Mixed Team,1996-07-15,1940097
Bronze Medal,3,LEE Hyekyeong,Korea,KOR,Korea,Judo,Mixed Team,1996-01-12,1940098
Bronze Medal,3,KIM Jisu,Korea,KOR,Korea,Judo,Mixed Team,2000-12-12,1928071
Bronze Medal,3,KIM Hayun,Korea,KOR,Korea,Judo,Mixed Team,2000-01-07,1928070
Bronze Medal,3,YOON Hyunji,Korea,KOR,Korea,Judo,Mixed Team,1994-02-14,1928082
Bronze Medal,3,AN Baul,Korea,KOR,Korea,Judo,Mixed Team,1994-03-25,1928064
Bronze Medal,3,KIM Won Jin,Korea,KOR,Korea,Judo,Mixed Team,1992-05-01,1928074
Bronze Medal,3,HAN Juyeo,Korea,KOR,Korea,Judo,Mixed Team,1999-04-21,1928066
Bronze Medal,3,LEE Joonhwan,Korea,KOR,Korea,Judo,Mixed Team,2002-06-19,1928079
Bronze Medal,3,KIM Minjong,Korea,KOR,Korea,Judo,Mixed Team,2000-09-01,1928072
Gold Medal,1,CARNEGIE Sholto,Great Britain,GBR,Great Britain,Rowing,Men's Eight,1995-02-28,1901045
Gold Medal,1,GIBBS Rory,Great Britain,GBR,Great Britain,Rowing,Men's Eight,1994-04-03,1901068
Gold Medal,1,BOLDING Morgan,Great Britain,GBR,Great Britain,Rowing,Men's Eight,1995-05-13,1901036
Gold Medal,1,DAWSON Jacob,Great Britain,GBR,Great Britain,Rowing,Men's Eight,1993-11-02,1901051
Gold Medal,1,ELWES Charles,Great Britain,GBR,Great Britain,Rowing,Men's Eight,1997-07-15,1901062
Gold Medal,1,DIGBY Tom,Great Britain,GBR,Great Britain,Rowing,Men's Eight,1998-07-23,1901056
Gold Medal,1,RUDKIN James,Great Britain,GBR,Great Britain,Rowing,Men's Eight,1994-07-07,1901089
Gold Medal,1,FORD Tom,Great Britain,GBR,Great Britain,Rowing,Men's Eight,1992-10-03,1901064
Gold Medal,1,BRIGHTMORE Harry,Great Britain,GBR,Great Britain,Rowing,Men's Eight,1994-07-01,1901041
Silver Medal,2,RIENKS Ralf,Netherlands,NED,Netherlands,Rowing,Men's Eight,1997-09-23,1965596
Silver Medal,2,MOLENAAR Olav,Netherlands,NED,Netherlands,Rowing,Men's Eight,1999-03-28,1965587
Silver Medal,2,de GRAAF Sander,Netherlands,NED,Netherlands,Rowing,Men's Eight,1995-06-13,1965601
Silver Medal,2,KNAB Ruben,Netherlands,NED,Netherlands,Rowing,Men's Eight,1988-02-19,1965592
Silver Medal,2,van DOORN Gert-Jan,Netherlands,NED,Netherlands,Rowing,Men's Eight,1999-02-03,1965583
Silver Medal,2,van de KERKHOF Jacob,Netherlands,NED,Netherlands,Rowing,Men's Eight,1995-10-12,1965548
Silver Medal,2,van der BIJ Jan,Netherlands,NED,Netherlands,Rowing,Men's Eight,1991-09-25,1965597
Silver Medal,2,MAKKER Mick,Netherlands,NED,Netherlands,Rowing,Men's Eight,1993-02-05,1965581
Silver Medal,2,FETTER Dieuwke,Netherlands,NED,Netherlands,Rowing,Men's Eight,1991-01-26,1965562
Bronze Medal,3,HOLLINGSWORTH Henry,United States,USA,United States,Rowing,Men's Eight,1997-09-05,1944696
Bronze Medal,3,RUSHER Nick,United States,USA,United States,Rowing,Men's Eight,1999-06-10,1944757
Bronze Medal,3,TABASH Christian,United States,USA,United States,Rowing,Men's Eight,1999-05-14,1944764
Bronze Medal,3,DEAN Clark,United States,USA,United States,Rowing,Men's Eight,2000-02-03,1944660
Bronze Medal,3,CARLSON Chris,United States,USA,United States,Rowing,Men's Eight,1997-03-14,1944642
Bronze Medal,3,CHATAIN Peter,United States,USA,United States,Rowing,Men's Eight,1999-11-08,1944646
Bronze Medal,3,OLSON Evan,United States,USA,United States,Rowing,Men's Eight,1997-07-26,1944625
Bronze Medal,3,QUINTON Pieter,United States,USA,United States,Rowing,Men's Eight,1998-02-11,1944747
Bronze Medal,3,MILNE Rielly,United States,USA,United States,Rowing,Men's Eight,1996-05-31,1944731
Gold Medal,1,RUSU Maria Magdalena,Romania,ROU,Romania,Rowing,Women's Eight,1999-09-30,1550630
Gold Medal,1,ANGHEL Roxana,Romania,ROU,Romania,Rowing,Women's Eight,1998-01-01,1550289
Gold Medal,1,BODNAR Ancuta,Romania,ROU,Romania,Rowing,Women's Eight,1998-09-25,1550303
Gold Medal,1,LEHACI Maria,Romania,ROU,Romania,Rowing,Women's Eight,1999-06-28,1550437
Gold Medal,1,ADAM Adriana,Romania,ROU,Romania,Rowing,Women's Eight,1999-04-11,1550285
Gold Medal,1,BERES Amalia,Romania,ROU,Romania,Rowing,Women's Eight,1997-06-18,1550294
Gold Medal,1,VRINCEANU Ioana,Romania,ROU,Romania,Rowing,Women's Eight,1994-03-07,1550789
Gold Medal,1,RADIS Simona,Romania,ROU,Romania,Rowing,Women's Eight,1999-04-05,1550560
Gold Medal,1,PETREANU Victoria Stefania,Romania,ROU,Romania,Rowing,Women's Eight,2003-01-21,1550542
Silver Medal,2,SEVICK Jessica,Canada,CAN,Canada,Rowing,Women's Eight,1989-07-15,1967522
Silver Medal,2,FILMER Caileigh,Canada,CAN,Canada,Rowing,Women's Eight,1996-12-18,4031142
Silver Medal,2,MESCHKULEIT Maya,Canada,CAN,Canada,Rowing,Women's Eight,2001-07-28,1967515
